id,start_s,end_s,duration_s,start_idx,end_idx
1,8.042666666666667,11.968,3.9253333333333327,375,559
2,12.522666666666666,12.949333333333334,0.42666666666666764,585,605
3,14.421333333333333,14.72,0.2986666666666675,674,688
4,15.530666666666667,15.658666666666667,0.1280000000000001,726,732
5,16.170666666666666,16.384,0.2133333333333347,756,766
6,18.666666666666668,18.773333333333333,0.10666666666666558,873,878
7,27.562666666666665,27.733333333333334,0.1706666666666692,1290,1298
8,27.968,28.202666666666666,0.2346666666666657,1309,1320
9,28.330666666666666,31.744,3.413333333333334,1326,1486
10,31.957333333333334,33.64266666666666,1.685333333333329,1496,1575
11,33.792,34.432,0.6400000000000006,1582,1612
12,34.58133333333333,35.434666666666665,0.8533333333333317,1619,1659
13,46.37866666666667,46.50666666666667,0.1280000000000001,2172,2178
14,46.63466666666667,50.06933333333333,3.434666666666665,2184,2345
15,50.19733333333333,50.730666666666664,0.5333333333333314,2351,2376
16,50.922666666666665,51.946666666666665,1.024000000000001,2385,2433
17,52.096,52.309333333333335,0.21333333333333826,2440,2450
18,52.48,52.629333333333335,0.1493333333333382,2458,2465
19,53.333333333333336,53.504,0.17066666666666208,2498,2506
20,61.888,62.08,0.19200000000000017,2899,2908
21,62.57066666666667,66.496,3.9253333333333273,2931,3115
22,66.688,67.072,0.38400000000000034,3124,3142
23,80.04266666666666,83.264,3.221333333333334,3750,3901
24,83.392,83.62666666666667,0.23466666666666924,3907,3918
25,83.75466666666667,86.29333333333334,2.5386666666666713,3924,4043
26,86.464,87.01866666666666,0.5546666666666624,4051,4077
27,87.18933333333334,87.38133333333333,0.19199999999999307,4085,4094
28,87.50933333333333,87.97866666666667,0.4693333333333385,4100,4122
29,101.504,101.73866666666666,0.23466666666665503,4756,4767
30,101.93066666666667,102.57066666666667,0.6400000000000006,4776,4806
31,102.69866666666667,102.86933333333333,0.17066666666666208,4812,4820
32,103.06133333333334,103.89333333333333,0.8319999999999936,4829,4868
33,104.04266666666666,104.512,0.4693333333333385,4875,4897
34,104.98133333333334,105.28,0.2986666666666622,4919,4933